spine_id	weight_before_D1	weight_after_D1
PT_0_21.Adend1.0.945614	11.389453699200217	0.0016318971322793582
PT_0_21.Adend3.0.068421	10.557257682458404	0.0012120677090814835
PT_0_22.Adend1.0.454386	13.38136674974796	0.0005398204003183925
PT_0_22.Adend3.0.100000	8.72334007215911	0.0005387623461472037
PT_0_23.Adend2.0.289474	8.804116647004548	0.0016822197531585412
PT_0_24.Adend2.0.292982	13.981020936923883	0.000740835658357909
PT_0_24.Bdend.0.001754	3.576836510083085	0.001469058085028666
PT_0_25.Adend1.0.728070	13.681236294727917	0.0024615084036625086
PT_0_25.Adend3.0.728070	6.055232690938385	0.0025389079760425163
PT_0_27.Adend1.0.170175	6.817296718686916	0.0022557801748526347
PT_0_27.Adend2.0.871930	12.974268512118613	0.002158330140143665
PT_0_28.Adend3.0.521053	9.497649531921118	0.16504671225279427
PT_0_29.Adend2.0.668421	11.65440582312073	0.001088467356525466
PT_0_29.Adend3.0.068421	6.717211531866264	0.0012133152129947782
PT_0_30.soma.0.531250	5.877569280431453	0.0012593582053272725
PT_0_31.soma.0.906250	9.22666661437326	0.0013449875800537906
PT_0_33.soma.0.114583	12.728213169387654	0.001237950126852474
PT_0_40.Adend1.0.935088	10.377107790869102	0.592031112671275
PT_0_40.Adend2.0.128070	7.2418743082159525	2.846803067306354
PT_0_40.Adend2.0.131579	5.969483465976333	0.3561221886920447
PT_0_40.Adend2.0.668421	6.8677425707568425	0.001089787123740472
PT_0_40.Adend3.0.717544	10.080788986381584	2.166250433519081
PT_0_41.Adend1.0.935088	7.205833110759017	0.5927458388400442
PT_0_41.Adend3.0.464912	7.794485514741006	0.03870883202299468
PT_0_41.Bdend.0.001754	13.34072833013025	0.001468724744743605
PT_0_41.Bdend.0.068421	3.4286781449637207	0.033479391225213956
PT_0_41.Bdend.0.156140	3.7741778660033516	0.0011344344751688408
PT_0_42.Adend1.0.454386	9.252586655266347	0.0005398996336709789
PT_0_42.Adend2.0.931579	10.207857359412083	0.471710850412144
PT_0_43.Adend1.0.450877	12.474699694473294	0.006587072584312192
